;Nama;Spesialisasi;Fakultas;Link Scholar
82;Afdhal., Ir., S.T., M.Sc. ;Distributed Systems and Computer Networks;FT;https://scholar.google.co.id/citations?user=Vj14tHgAAAAJ
83;Akhyar., Dr., ST., MP., M.Eng ;Metal casting, metallurgy, metal solidification, material properties, farcture mechanics, Finite Element Analysis (FEM);FT;https://scholar.google.com/citations?hl=en&user=xKF8Pp0AAAAJ
84;Andriansyah., S.T., M.T., IPM. ;Operational Research, Algorithm Development, Supply Chain Management;FT;https://scholar.google.com/citations?user=tWIN-qEAAAAJ&hl=en
85;Anita Rauzana., Dr., S.T., MT. ;Construction Project Management, Estimation Cost, Risk Management;FT;https://scholar.google.co.id/citations?hl=en&user=hZcCrZsAAAAJ&view_op=list_works&authuser=1&gmla=AJsN-F7wP1BHdNmmP4N_O2moDtM-qUFzxVgLmf-KYvaugRZx6a4y5BgYV9tNzhBCfhmoz9bxDZV08EZwfLs_QFw3o033kQYhoTRF1y5i5DTsOfN9WWY8VCA
86;Ashfa., Dr., S.T., M.T. ;Land use changes;FT;https://scholar.google.co.id/citations?user=E11ai2AAAAAJ&hl=en
87;Asri Gani., Dr. Ir., M.Eng ;Energi dan Energi terbarukan;FT;https://scholar.google.co.id/citations?user=ClJdtqwAAAAJ&hl=en
88;Asrul Sidiq., ST., M.Sc ;Perencanaan Wilayah dan Kota;FT;https://scholar.google.co.id/citations?user=9QXpaCwAAAAJ&hl=en
89;Bambang Setiawan., Dr., ST, M.Eng.Sc. ;"Geotechnical Earthquake Engineering; Engineering Geology; Seismic Hazard Analysis; Site Characterisation";FT;https://scholar.google.com.au/citations?user=Qs9QoI8AAAAJ&hl=en
90;Dian Darisma., S.Si., MT ;Geothermal, Volcano, Inversion and Modelling, Near Surface Geophysics;FT;https://scholar.google.co.id/citations?user=y87AIRoAAAAJ&hl=en&authuser=2
91;Didi Asmadi., S.T.P., M.T., I ;Industrial Engineering, Financial Engineering, Strategic Performance Management ;FT;https://scholar.google.co.id/citations?user=ftW6Yj4AAAAJ&hl=en&authuser=2
